Charity_Legal_Name;Adress
VICTORIA HONGKONGERS ASSOCIATION (AUSTRALIA) INC.;Po Box 6599   Melbourne Victoria
Doncaster RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Sealake RSL Sub Branch Welfare Patriotic Fund W368;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Emergency Services Personnel Support Fund;L 2 Se 7 18-20 Collins St   Melbourne Victoria
Anglican Diocese Of Melbourne;209 Flinders Lane   Melbourne VIC
The Trustee For St Dunstans Camberwell Hale Parish Endowment Fund;209 Flinders Lane   Melbourne VIC
The Spoon Club Inc.;9 Hodgkinson St Clifton Hill  Melbourne VIC
The Association Of Graduates In Early Childhood Studies;The University Of Melbourne Level 5 100 Leicester St  MELBOURNE VIC
Oakleigh Holy Trinity Organ Fund;209 Flinders Lane   Melbourne VIC
Chabad House Of Caulfield Pty Ltd;L 5 Se 4 492 St Kilda Rd   Melbourne Victoria
Koondrook RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Casterton RSL Sub-Branch Inc.;ANZAC House 4 Collins Street  Melbourne VIC
Mard Consolidated Trust;L 14 440 Collins St   Melbourne Victoria
The Housing For The Aged Action Group Inc;247-251 Flinders Lane   Melbourne Victoria
Association Of Employees With Disability Inc.;L 9 Se 1 45 William St   Melbourne Victoria
THE TRUSTEE FOR THE JOHN & MYRIAM WYLIE FOUNDATION;L 13 8 Exhibition St   Melbourne Victoria
DANDENONG CRANBOURNE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Aeon Media Group Limited;Unit 6, Level 5, 100 Flinders Street   Melbourne VIC
Lorne RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
AUSTRALIAN LAND CONSERVATION ALLIANCE LIMITED;Level 3 349 Collins Street  Melbourne Victoria
THE HATTIE FAMILY FOUNDATION LIMITED;L 12 31 Queen St   Melbourne Victoria
Woodend RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Machon Chaim College Fund;L 5 Se 4 492 St Kilda Rd   Melbourne Victoria
Slavic Welfare Association Incorporated;247-251 Flinders Lane   Melbourne Victoria
EPPING RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Anti-Slavery Society;PO Box 438   MELBOURNE VIC
Mitsui Educational Foundation;L 15 120 Collins St   Melbourne Victoria
The Trustee For The Fyt Melbourne Trust;L 12 440 Collins St   Melbourne Victoria
MZURI DANCE ARTISTREE FUND INC.;L 19 180 Lonsdale St   Melbourne Victoria
VICTORIAN WOMEN'S BENEVOLENT TRUST;L 9 313 La Trobe St   Melbourne Victoria
The Australian Institute Of Refrigeration Air Conditioning And Heating (Incorporated);L 3 1 Elizabeth St   Melbourne Victoria
WESLEY COLLEGE FOUNDATION LIMITED;Wesley College   Melbourne Victoria
Uniting (Victoria and Tasmania) Limited;L 4 130 Lonsdale Street   Melbourne Victoria
The Trustee For The Charles Wood Bursary Fund;209 Flinders Lane   Melbourne VIC
The Trustee For The Reverend G B Williams Bequest;209 Flinders Lane   Melbourne VIC
Switchboard (Victoria) Inc;L 8 225 Bourke St   Melbourne Victoria
The Trustee For The Collingwood Football Club Community Foundation;10 Olympic Bvd   Melbourne Victoria
The Trustee For The Joseph William Briggs Bequest;209 Flinders Lane   Melbourne VIC
TRARALGON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Kilfinan Australia Ltd;L 6 432 St Kilda Rd   Melbourne Victoria
Sports Environment Alliance Incorporated;U 1002 16 Liverpool St   Melbourne Victoria
Aardvark Music Inc;L 4 412 Collins St   Melbourne Victoria
The Trustee For Ian Hicks Foundation;97 Spring St   Melbourne Victoria
Council On The Ageing (Vic) Inc;Suite 2.5 424 St Kilda Road  Melbourne Victoria
Australian And New Zealand College Of Anaesthetists;630 St Kilda Rd   Melbourne Victoria
The Trustee For The Frank & Florence Mccall Memorial Fund;209 Flinders Lane   Melbourne VIC
Hope Child Africa Ltd;L 6 530 Collins St   Melbourne Victoria
Catalyst Australia Women Research and Consulting, Limited;L 12 31 Queen St   Melbourne Victoria
Victorian Community Foundation AC The Albert Van Moorst Memorial Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Hewison Foundation;L 8 417 St Kilda Rd   Melbourne Victoria
The Trustee For Bagot Nina Legacy;209 Flinders Lane   Melbourne VIC
EUROA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
STUDIO SCHOOLS OF AUSTRALIA LTD;L 42 Se 1 120 Collins St   Melbourne Victoria
MARRIOTT FOR HIV LTD;Alfred Hospital   Melbourne Victoria
Welsh Calvinistic Methodist Connexion In Victoria;320 Latrobe Street   MELBOURNE VIC
The Trustee For Mary Elizabeth Mccomas Piano Foundation;L 10 114 William St   Melbourne Victoria
Pnet Cancer Foundation Inc;162201 Spring St   Melbourne VIC
Melbourne Anglican Trust Corporation;209 Flinders Lane   Melbourne VIC
Chalmers Presbyterian Church Auburn;14 Rathmines Road, Hawthorn East   Melbourne Vic
BROADFORD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Robinvale RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
ECO YOUTH LTD;Suite 343 Alberts Coates Lane   Melbourne VIC
BEYOND CHARITY LTD;Suite 455 585 Little Collins Street  Melbourne VIC
Weary Dunlop Rugby Foundation;L 28 200 Queen St   Melbourne Victoria
JWA Australia Incorporated;L 4 606 St Kilda Rd   Melbourne Victoria
Rise (Refugee Survivors & Ex-Detainees);247-251 Flinders Lane   Melbourne Victoria
Yarra Glen RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Humanities 21 INC;L 51 101 Collins St   Melbourne Victoria
Victorian Comprehensive Cancer Centre Ltd;L 10 305 Grattan St   Melbourne Victoria
Australian Legal Sector Alliance Limited;L 31 8 Exhibition St   Melbourne Victoria
Open Food Web Foundation Limited;247-251 Flinders Lane   Melbourne Victoria
Reading out of Poverty Inc;Se 15 20 Commercial Rd   Melbourne 
Pincus Family Foundation;L 4 157 Spring St   Melbourne Victoria
Student Community Television Incorporated;124 La Trobe Street Building 12 Level 3 Room 97  Melbourne VIC
U3A Melbourne City Inc.;168 Lonsdale St   Melbourne Victoria
TOORA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
NOT ALONE, ALWAYS HERE INC.;L 11 Se 2 350 Collins St   Melbourne Victoria
The Melbourne Theosophical Society;Level 1, 234 Flinders Lane   Melbourne Victoria
Express Media Inc;176 Little Lonsdale St   Melbourne Victoria
Rsl Of Aust Victorian Branch General Appeals Patriotic Fund Account;ANZAC House 4 Collins Street   MELBOURNE VIC
William Angliss Institute Foundation;555 La Trobe St   Melbourne Victoria
Financial Counselling Foundation;L 6 179 Queen St   Melbourne Victoria
Christian Science Reading Room C'Tee;30 Degraves St   Melbourne Victoria
The Trustee For The G W Vowell Foundation;L 15 333 Collins St   Melbourne Victoria
THE TRUSTEE FOR THE OPALGATE FOUNDATION;L 9 Se 1 34 Queen St   Melbourne Victoria
U3A Network Victoria Inc;L 4 50 Queen St   Melbourne Victoria
Life Be In It Australia Limited;L 15 461 Bourke St   Melbourne Victoria
Shiva Yoga Inc (In Liquidation);L 15 Se 1 114 William St   Melbourne Victoria
The Pinshaw Family Foundation;L 32 360 Collins St   Melbourne Victoria
YARRAM RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Meeniyan RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
KYABRAM RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
LAKES ENTRANCE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
STREET DOG SUPPORT LIMITED;Se 519 1 Queens Rd   Melbourne Victoria
The Trustee For Greenfleet Trust;Level 4 517 Flinders Lane  Melbourne VIC
Ileen Macpherson Trust;14570 Little Bourke Street   Melbourne VIC
GISBORNE  MACEDON RANGES SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Upwey BelgraveRSL Sub Branch Welfare (Patriotic) Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Genealogical Society Of Victoria Inc.;Level 1, 10 Queen Street   Melbourne VIC
Victorian State Concert Orchestra Incorporated;239 A'beckett St   Melbourne Victoria
Beyond Blue Limited;Suite 501, 278 Flinders Lane   Melbourne Victoria
The Trustee For Victorian Bar Foundation Trust;Level 5, Owen Dixon Chambers East 205 William St  Melbourne VIC
Sanders Jean A Bequest;209 Flinders Lane   Melbourne VIC
Effective Altruism Australia Ltd;L 7 Se 7 41 Exhibition St   Melbourne Victoria
CROYDON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
THE RETURNED & SERVICES LEAGUE OF AUSTRALIA VICTORIAN BRANCH - ENSAY & SWIFTS CREEK WELFARE PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
HAMPTON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Actu Education Inc;L 4 365 Queen St   Melbourne Victoria
Queensland Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Victoria Walks Inc.;L 7 225 Bourke St   Melbourne Victoria
Melbourne Grammar School Arts Trust;Melbourne Grammar School - Wad   Melbourne Victoria
St Michaels Mt Dandenong - Webb;209 Flinders Lane   Melbourne VIC
UNIVERSAL COMMONS LTD;L 4 167 Flinders Lane   Melbourne Victoria
The F & K De Angeli Foundation;L 32 360 Collins St   Melbourne Victoria
The Trustee For Alice Hindson Memorial Fund;209 Flinders Lane   Melbourne VIC
CASTLEMAINE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The D & X Williamson Family Charitable Fund;L 10 530 Collins St   Melbourne Victoria
Alfred Green House - Maintenance Account;209 Flinders Lane   Melbourne VIC
The George Seelaf Trust Fund;Lvl 2, 575 Bourke St   Melbourne Victoria
Q C F Account Theobold A F Memorial Fund Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
Scots Church Properties Trust;L 1 Se 1 156 Collins St   Melbourne Victoria
Colman Education Foundation;L 18 530 Collins St   Melbourne Victoria
Kew RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Presbyterian Church Of Victoria;M 156 Collins St   Melbourne Victoria
Melbourne Anglican Benevolent Society Inc.;209 Flinders Lane   Melbourne Victoria
Financial Counselling Victoria Inc;L 6 179 Queen St   Melbourne Victoria
Yea-Kinglake RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Jeffrey Blyth Foundation;247-251 Flinders Lane   Melbourne Victoria
INSPIRING GIRLS AUSTRALIA LIMITED;L 14 333 Collins St   Melbourne Victoria
Queensland Community Foundationa C Stone P & M E M Fund;Lvl 2, 575 Bourke St   Melbourne Victoria
MORWELL (YINNAR) RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee for the Viridian Foundation;Level 17 120 Collins Street  Melbourne VIC
The Aussie Hands Foundation Incorporated;247-251 Flinders Lane   Melbourne Victoria
Blind Citizens Australia;247-251 Flinders Lane   Melbourne Victoria
Financial Basics Foundation;L 7 525 Flinders St   Melbourne Victoria
Wagner Foundation Private Ancillary Fund;Suite 202 546 Collins Street  Melbourne VIC
Sebastopol RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Tree Project Inc;247-251 Flinders Lane   Melbourne Victoria
Prahan St Matthews - Robinson Trust;209 Flinders Lane   Melbourne VIC
Avoca RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
METUNG RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Wesley College Scholarships Bursaries And Prizes Fund;Wesley College   Melbourne Victoria
The Trustee For Telco Together Fund;L 10 452 Flinders St   Melbourne Victoria
Robogals Ltd;L 3 333 Exhibition St   Melbourne Victoria
The Amelia Eliza Holland Trust;Rundles Chartered Accountants Level One, 500 Collins Street  Melbourne VIC
Q C F Account Swallow T G Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
JEWISH SCHOOLS FOUNDATION LTD;L 4 167 Flinders Lane   Melbourne Victoria
HAWTHORN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Robert & Catherine Welchman Bequest;209 Flinders Lane   Melbourne VIC
THE RETURNED AND SERVICES LEAGUE OF AUSTRALIA VICTORIAN BRANCH - HOPETOUN WELFARE PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Women In Super;L 23 150 Lonsdale St   Melbourne Victoria
Nomit (Italian Network of Melbourne) Inc.;L 1 509 St Kilda Rd   Melbourne Victoria
WARRAGUL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Knit One Give One Ltd;Po Box 7425   Melbourne Victoria
Melbourne Anglican Chaplaincy Fund;209 Flinders Lane   Melbourne Victoria
Harris Estate Charitable Foundation;L 1 575 Bourke St   Melbourne Victoria
Women's Leadership Institute Australia Inc;L 4 167 Flinders Lane   Melbourne Victoria
Indigenous Law Students And Lawyers Association Of Victoria Tarwirri Inc;388 Bourke St   Melbourne Victoria
A & M S Foundation;L 21 570 Bourke St   Melbourne Victoria
St Augustines Catholic Church Melbourne;631 Bourke Street   Melbourne VIC
Bright Sparqe Limited;L 9 Se 1 440 Collins St   Melbourne Victoria
InLife Independent Living Ltd;L 22 120 Spencer St   Melbourne Victoria
Whittlesea RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
CRIB POINT RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Association for Astronomy in Culture Incorporated;8 La Trobe St   Melbourne Victoria
WEST HEIDELBERG RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australia-Israel Cultural Exchange Limited;Se 836 1 Queens Rd   Melbourne Victoria
veski;L 2 116 Hardware St   Melbourne Victoria
NOBLE PARK RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Reinforce Inc Victorian Association For Intellectually Disabled Citizens;247-251 Flinders Lane   Melbourne Victoria
Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
YARRAWONGA MULWALA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
RETURNED SERVICEWOMEN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Emerging Writers' Festival Inc;176 Little Lonsdale St   Melbourne Victoria
BACCHUS MARSH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Suhara Foundation;L 10 530 Collins St   Melbourne Victoria
Madda Walaabuu Media Foundation Inc;U 14 27 Flinders Lane   Melbourne Victoria
Community Housing Federation Of Victoria Incorporated;L 1 128 Exhibition St   Melbourne Victoria
Disability Employment Australia;L 4 140 Bourke St   Melbourne Victoria
THE TRUSTEE FOR THE TRAWALLA FOUNDATION TRUST;L 4 167 Flinders Lane   Melbourne Victoria
The Skyled Foundation;L 10 530 Collins St   Melbourne Victoria
The Trustee For Ecumencial Housing Trust;Level 3, 350 Queen Street   Melbourne VIC
Student Youth Network Inc;PO Box 12013 A'Beckett Street   Melbourne VIC
CRESWICK RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Anglican Diocese Of Melbourne Ancillary Fund;209 Flinders Lane   Melbourne VIC
Natalie Miller Fellowship Inc;Level 3 34 Queen Street  Melbourne VIC
The Trustee For The Rotary Club Of Melbourne Community Foundation Extension Fund;L 9 Se 3 15 Collins St   Melbourne Victoria
CrossCulture Development Foundation Ltd;194-196 Little Lonsdale St   Melbourne Victoria
The Trustee For The Intrepid Foundation;L 7 567 Collins St   Melbourne Victoria
Scots Church;L 1 Se 1 156 Collins St   Melbourne Victoria
MILDURA RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Kathleen Gardner Bequest;209 Flinders Lane   Melbourne VIC
SEAFORD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Bryn's School International Limited;U 102 108 Flinders St   Melbourne Victoria
Building Communities (Vic) Limited;CO Tetris Capital Level 44, 525 Collins Street  Melbourne VIC
Kids Tennis Foundation Inc;U 206 620 St Kilda Rd   Melbourne Victoria
OROMIA SUPPORT GROUP AUSTRALIA INC;247-251 Flinders Lane   Melbourne Victoria
St ARNAUD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Victoria College Limited;185 Spring St   Melbourne Victoria
Welsh Calvinistic Methodist Connexion Pty Ltd;320 Latrobe Street   MELBOURNE VIC
More Than Opera;422 Collins St   Melbourne Victoria
Children's Cancer Foundation;Olympic Boulevard   Melbourne VIC
Clayton Rsl Sub-Branch Welfare Patriotic Fund No W118;ANZAC House 4 Collins Street   MELBOURNE VIC
Edmund Rice Education Australia;PO Box 91 Richmond  Melbourne VIC
The Trustee For The Deanery Trust;209 Flinders Lane   Melbourne VIC
Ex-Prisoners of War and Relatives Association (Victoria) Inc;L 8 1 Elizabeth St   Melbourne Victoria
Queenscliff-Point Lonsdale RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Warburton RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Health Issues Centre;L 1 255 Bourke St   Melbourne Victoria
Melbourne Anglican Diocesan Corporation Ltd;209 Flinders Lane   Melbourne VIC
Yarrawonga-Mulwala RSL Sub-Branch Building Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Chabad Of Melbourne Cbd Inc;L 3 343 Little Collins St   Melbourne Victoria
The Trustee For The Joseph Podmore Estate;209 Flinders Lane   Melbourne VIC
Australian Corporate Lawyers Association;L 5 Se 2 84 William St   Melbourne Victoria
The Production Company (Australia) Ltd;Level 10 Freshwater Place 2 Southbank Boulevard  Melbourne VIC
Melbourne Orthopaedic Research Institute Ltd;L 10 530 Collins St   Melbourne Victoria
Centre For Books Writing And Ideas;176 Little Lonsdale St   Melbourne Victoria
Friends Of Beit Halochem Victoria Inc;L 2 570 St Kilda Rd   Melbourne Victoria
BAYSWATER RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Royal Freemasons Homes Of Victoria;L 7 580 St Kilda Rd   Melbourne Victoria
CNY United Pty Ltd;L 4 Se 6 18-20 Collins St   Melbourne Victoria
UPmovement Charitable Fund Ltd;L 3 162 Collins St   Melbourne Victoria
TATI TATI KAIEJIN LTD;U 329 539 St Kilda Rd   Melbourne Victoria
Stephanie Coral Browitt Necessitous Circumstances Trust;L 22 181 William St   Melbourne Victoria
Jedidiah;L 3 U 305 95 Berkeley St   Melbourne Victoria
Uca - Wesley Church Melbourne;148 Lonsdale St   Melbourne Victoria
PAKENHAM RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Energy and Resources Law Association Limited;Se 713 365 Little Collins St   Melbourne Victoria
Per Capita Australia Limited;L 2 673 Bourke St   Melbourne Victoria
Baker Heart And Diabetes Institute;75 Commercial Rd   Melbourne Victoria
The Australian Tennis Foundation Limited;Tennis Australia Melbourne Park, Batman Avenue  Melbourne VIC
Yallourn-Newborough RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Koo Wee Rup RSL Sub-Branch Building Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Girgarre RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Ross House Association Inc;247-251 Flinders Lane   Melbourne Victoria
Post Polio Victoria Inc;247-251 Flinders Lane   Melbourne Victoria
SYDNEY KALI TEMPLE CHARITY VENTURE LIMITED;L 2 333 Queen St   Melbourne Victoria
FLOURISH GIRL LTD;21-27 Somerset Pl   Melbourne Victoria
GRACE GLOBAL FUND LIMITED;Suite 601 Level 6, 488 Bourke Street  MELBOURNE VIC
CRC 1 (ASSEMBLE X HCA) LTD;L 3 350 Queen St   Melbourne Victoria
JBD - JEWS OF MELBOURNE CBD INC.;459 Collins St   Melbourne Victoria
Rochester RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Uca - Link Congregations Sunshine;130 Little Collins St   Melbourne Victoria
RED CLIFFS - IRYMPLE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Hawthorn Christ Church Endowment;209 Flinders Lane   Melbourne VIC
The Trustee For Alfred Green Bequest;209 Flinders Lane   Melbourne VIC
The Trustee For Christ Church Grammar School Foundation;L 7 330 Collins St   Melbourne Victoria
THE HORSE & HUMAN FOUNDATION LTD;L 23 500 Collins St   Melbourne Victoria
Therapeutic Horticulture Australia Inc;L 11 456 Lonsdale St   Melbourne Victoria
The Trustee For St Pauls Cathedral Music Foundation;St Pauls Cathedral   Melbourne Victoria
